style,artist,picture,path
Baroque,peter-paul-rubens,anna-of-austria-queen-of-france-mother-of-king-louis-xiv-1625,1001_images/anna-of-austria-queen-of-france-mother-of-king-louis-xiv-1625.jpg
Symbolism,konstantin-vasilyev,the-battle-with-the-dragon,1001_images/the-battle-with-the-dragon.jpg
Realism,ivan-shishkin,gurzuf-rocks-1879,1001_images/gurzuf-rocks-1879.jpg
Color_Field_Painting,anne-truitt,one-may-1976,1001_images/one-may-1976.jpg
Northern_Renaissance,hieronymus-bosch,haywain-1500-4,1001_images/haywain-1500-4.jpg
Romanticism,johann-koler,eve-with-a-pomegranate-1880,1001_images/eve-with-a-pomegranate-1880.jpg
Romanticism,francesco-hayez,bathsheba,1001_images/bathsheba.jpg
Impressionism,ilya-mashkov,gurzuf-views-of-the-chekhov-s-house-and-the-beach-1925,1001_images/gurzuf-views-of-the-chekhov-s-house-and-the-beach-1925.jpg
Romanticism,konstantin-makovsky,portrait-of-vera-zubova,1001_images/portrait-of-vera-zubova.jpg
Art_Nouveau_Modern,aubrey-beardsley,publicity-poster-for-the-yellow-book,1001_images/publicity-poster-for-the-yellow-book.jpg
Naive_Art_Primitivism,fernando-botero,oranges,1001_images/oranges.jpg
Abstract_Expressionism,paul-reed,14d-1964,1001_images/14d-1964.jpg
Minimalism,john-mclaughlin,untitled-composition-1953,1001_images/untitled-composition-1953.jpg
Post_Impressionism,maurice-prendergast,boat-landing-dinnard,1001_images/boat-landing-dinnard.jpg
Realism,valentin-serov,quartet,1001_images/quartet.jpg
Northern_Renaissance,rogier-van-der-weyden,demons-tortures-a-sinner,1001_images/demons-tortures-a-sinner.jpg
Realism,winslow-homer,the-portage,1001_images/the-portage.jpg
Realism,ivan-shishkin,pine-forest-1884,1001_images/pine-forest-1884.jpg
Expressionism,chaim-soutine,the-mad-woman-1,1001_images/the-mad-woman-1.jpg
Realism,john-singer-sargent,sir-frank-swettenham-1904,1001_images/sir-frank-swettenham-1904.jpg
Impressionism,john-henry-twachtman,artist-s-home-in-autumn-greenwich-connecticut,1001_images/artist-s-home-in-autumn-greenwich-connecticut.jpg
Realism,giovanni-boldini,a-lady-admiiring-a-fan-1878,1001_images/a-lady-admiiring-a-fan-1878.jpg
Abstract_Expressionism,endre-balint,de-profundis-1978,1001_images/de-profundis-1978.jpg
Mannerism_Late_Renaissance,el-greco,the-entombment-of-christ-1570,1001_images/the-entombment-of-christ-1570.jpg
Ukiyo_e,utagawa-toyokuni-ii,kachoga-falcon-on-a-pine-branch-rising-sun-above,1001_images/kachoga-falcon-on-a-pine-branch-rising-sun-above.jpg
Realism,ferdinand-hodler,unemployed-1891,1001_images/unemployed-1891.jpg
Naive_Art_Primitivism,fred-yates,moored-boats-penzance,1001_images/moored-boats-penzance.jpg
Impressionism,abraham-manievich,still-life-1930,1001_images/still-life-1930.jpg
Impressionism,pierre-auguste-renoir,study-for-the-saone-embraced-by-the-rhone-1915,1001_images/study-for-the-saone-embraced-by-the-rhone-1915.jpg
Contemporary_Realism,eric-fischl,growing-up-in-the-company-of-women-ii,1001_images/growing-up-in-the-company-of-women-ii.jpg
Post_Impressionism,vincent-van-gogh,round-clipped-shrub-in-the-public-garden-1888,1001_images/round-clipped-shrub-in-the-public-garden-1888.jpg
Realism,john-singer-sargent,eugene-juillerat,1001_images/eugene-juillerat.jpg
Early_Renaissance,pisanello,apparition-of-the-virgin-to-sts-anthony-abbot-and-george,1001_images/apparition-of-the-virgin-to-sts-anthony-abbot-and-george.jpg
Art_Nouveau_Modern,raphael-kirchner,salome-1903-3,1001_images/salome-1903-3.jpg
Romanticism,karl-bodmer,pehriska-ruhpa-minatarre-warrior-in-the-costume-of-the-dog-dance-plate-23-from-volume-2-of-1844,1001_images/pehriska-ruhpa-minatarre-warrior-in-the-costume-of-the-dog-dance-plate-23-from-volume-2-of-1844.jpg
Abstract_Expressionism,sam-francis,bouquet,1001_images/bouquet.jpg
Ukiyo_e,katsushika-hokusai,shimomeguro,1001_images/shimomeguro.jpg
Romanticism,edwin-henry-landseer,shoeing,1001_images/shoeing.jpg
Realism,giovanni-boldini,portrait-of-giovinetta-errazuriz-1892,1001_images/portrait-of-giovinetta-errazuriz-1892.jpg
Post_Impressionism,edouard-cortes,the-place-de-opera,1001_images/the-place-de-opera.jpg
Abstract_Expressionism,sam-francis,untitled-from-pasadena-box-lembark-l62-1963,1001_images/untitled-from-pasadena-box-lembark-l62-1963.jpg
Expressionism,egon-schiele,reclining-woman-with-red-blouse-1908,1001_images/reclining-woman-with-red-blouse-1908.jpg
Impressionism,pierre-auguste-renoir,study-of-flowers-anemones-and-tulips-1910,1001_images/study-of-flowers-anemones-and-tulips-1910.jpg
Cubism,salvador-dali,pierrot-and-guitar,1001_images/pierrot-and-guitar.jpg
Color_Field_Painting,sean-scully,yellow-figure-2002,1001_images/yellow-figure-2002.jpg
Expressionism,lovis-corinth,ecce-homo-1925,1001_images/ecce-homo-1925.jpg
Realism,isaac-levitan,road-1898,1001_images/road-1898.jpg
Expressionism,horia-bernea,spring-night-1965,1001_images/spring-night-1965.jpg
Realism,ivan-shishkin,oaks-1886,1001_images/oaks-1886.jpg
Romanticism,sir-lawrence-alma-tadema,the-massacre-of-the-monks-of-tamond-1855,1001_images/the-massacre-of-the-monks-of-tamond-1855.jpg
Art_Nouveau_Modern,boris-kustodiev,village-holiday-autumn-holiday-in-the-village-1914,1001_images/village-holiday-autumn-holiday-in-the-village-1914.jpg
Symbolism,nicholas-roerich,tibet-monastery-gelug-pa-1936,1001_images/tibet-monastery-gelug-pa-1936.jpg
High_Renaissance,leonardo-da-vinci,view-of-a-skull-1,1001_images/view-of-a-skull-1.jpg
Northern_Renaissance,hans-memling,the-virgin-and-child-with-st-james-and-st-dominic-presenting-the-donors-and-their-family-known,1001_images/the-virgin-and-child-with-st-james-and-st-dominic-presenting-the-donors-and-their-family-known.jpg
Ukiyo_e,utagawa-kuniyoshi,women-9,1001_images/women-9.jpg
Expressionism,egon-schiele,spitalskirche-molding-1918,1001_images/spitalskirche-molding-1918.jpg
Post_Impressionism,moise-kisling,nude-seated-on-the-grass-1950(1),1001_images/nude-seated-on-the-grass-1950(1).jpg
Minimalism,edward-corbett,washington-d-c-october-8-1964-1964,1001_images/washington-d-c-october-8-1964-1964.jpg
Impressionism,nicolae-darascu,n-fa-a-opronului-1930,1001_images/n-fa-a-opronului-1930.jpg
Rococo,maurice-quentin-de-la-tour,study-for-portrait-of-unknown-man-2,1001_images/study-for-portrait-of-unknown-man-2.jpg
Minimalism,joan-hernandez-pijuan,dibuix-n-145-1991,1001_images/dibuix-n-145-1991.jpg
Symbolism,mstislav-dobuzhinsky,a-cottage-in-st-petersburg-1905,1001_images/a-cottage-in-st-petersburg-1905.jpg
Impressionism,pierre-auguste-renoir,summer-1875,1001_images/summer-1875.jpg
Impressionism,joaquã­n-sorolla,running-along-the-beach-1908,1001_images/running-along-the-beach-1908.jpg
Symbolism,hugo-simberg,king-hobgoblin-sleeping-1896,1001_images/king-hobgoblin-sleeping-1896.jpg
Art_Nouveau_Modern,henri-de-toulouse-lautrec,yvette-guilbert-1,1001_images/yvette-guilbert-1.jpg
Impressionism,lucian-grigorescu,munci-de-prim-var,1001_images/munci-de-prim-var.jpg
Expressionism,wassily-kandinsky,all-saints-day-i-1911,1001_images/all-saints-day-i-1911.jpg
Realism,helene-schjerfbeck,the-convalescent-1888,1001_images/the-convalescent-1888.jpg
Naive_Art_Primitivism,fernando-botero,delphine,1001_images/delphine.jpg
Early_Renaissance,sandro-botticelli,paradise-canto-vi-1490(1),1001_images/paradise-canto-vi-1490(1).jpg
Art_Nouveau_Modern,zinaida-serebriakova,eugene-portrait-of-the-artist-s-son-1917,1001_images/eugene-portrait-of-the-artist-s-son-1917.jpg
Realism,ivan-shishkin,view-of-valaam-island,1001_images/view-of-valaam-island.jpg
Baroque,juan-de-valdes-leal,the-conversion-and-baptism-of-st-augustine-by-st-ambrose-1673,1001_images/the-conversion-and-baptism-of-st-augustine-by-st-ambrose-1673.jpg
Impressionism,eugene-boudin,low-tide-at-trouville,1001_images/low-tide-at-trouville.jpg
Post_Impressionism,ferdynand-ruszczyc,w-wiat-1901,1001_images/w-wiat-1901.jpg
Post_Impressionism,maurice-utrillo,basilica,1001_images/basilica.jpg
Impressionism,claude-monet,snow-effect-the-street-in-argentuil,1001_images/snow-effect-the-street-in-argentuil.jpg
Romanticism,thomas-cole,prometheus-bound-1847,1001_images/prometheus-bound-1847.jpg
Realism,boris-kustodiev,house-in-uspensky-1908,1001_images/house-in-uspensky-1908.jpg
Symbolism,nicholas-roerich,girls-1944,1001_images/girls-1944.jpg
Fauvism,hans-hofmann,suburbian-1936,1001_images/suburbian-1936.jpg
Rococo,joshua-reynolds,general-john-burgoyne,1001_images/general-john-burgoyne.jpg
Impressionism,joaquã­n-sorolla,valencian-fiesin-an-orange-grove-1898,1001_images/valencian-fiesin-an-orange-grove-1898.jpg
Color_Field_Painting,ronnie-landfield,series-painting-2-1966,1001_images/series-painting-2-1966.jpg
Rococo,bernardo-bellotto,the-kreuzkirche-in-dresden,1001_images/the-kreuzkirche-in-dresden.jpg
Romanticism,gustave-dore,baruch-writes-jeremiah-s-prophecies,1001_images/baruch-writes-jeremiah-s-prophecies.jpg
Post_Impressionism,moise-kisling,renee-kisling-1928,1001_images/renee-kisling-1928.jpg
Expressionism,vilmos-aba-novak,homebound-1937,1001_images/homebound-1937.jpg
Symbolism,james-tissot,moses-and-joshua-in-the-tabernacle,1001_images/moses-and-joshua-in-the-tabernacle.jpg
Symbolism,nicholas-roerich,rocks-of-ladakh-1933-1,1001_images/rocks-of-ladakh-1933-1.jpg
Expressionism,nicolae-tonitza,scherzzo,1001_images/scherzzo.jpg
Abstract_Expressionism,romare-bearden,untitled-1959-2,1001_images/untitled-1959-2.jpg
Expressionism,nicolae-tonitza,mourner,1001_images/mourner.jpg
Fauvism,mary-fedden,still-life-with-fruit-1997,1001_images/still-life-with-fruit-1997.jpg
Impressionism,camille-pissarro,the-louvre-morning-snow-effect-1903,1001_images/the-louvre-morning-snow-effect-1903.jpg
Pointillism,theo-van-rysselberghe,morning-fog-over-the-port-of-veer-holland-1906,1001_images/morning-fog-over-the-port-of-veer-holland-1906.jpg
Realism,alexey-venetsianov,girl-in-a-kerchief,1001_images/girl-in-a-kerchief.jpg
Art_Nouveau_Modern,nicholas-roerich,hoary-finland-1907,1001_images/hoary-finland-1907.jpg
Baroque,rembrandt,view-of-diemen-1655,1001_images/view-of-diemen-1655.jpg
Post_Impressionism,koloman-moser,hyacinths,1001_images/hyacinths.jpg
Expressionism,georges-braque,balustre-et-crane-1938,1001_images/balustre-et-crane-1938.jpg
Impressionism,pierre-auguste-renoir,spray-of-anemones,1001_images/spray-of-anemones.jpg
Realism,ilya-repin,boris-godunov-with-ivan-the-terrible-1890,1001_images/boris-godunov-with-ivan-the-terrible-1890.jpg
Impressionism,claude-monet,the-esterel-mountains,1001_images/the-esterel-mountains.jpg
Rococo,bernardo-bellotto,ruins-of-the-forum-rome,1001_images/ruins-of-the-forum-rome.jpg
Impressionism,claude-monet,coming-into-port-goulphar-belle-ile,1001_images/coming-into-port-goulphar-belle-ile.jpg
Impressionism,berthe-morisot,reading-with-green-umbrella,1001_images/reading-with-green-umbrella.jpg
High_Renaissance,pietro-perugino,the-pazzi-crucifixion-1496,1001_images/the-pazzi-crucifixion-1496.jpg
Impressionism,edgar-degas,olive-trees-against-a-mountainous-background,1001_images/olive-trees-against-a-mountainous-background.jpg
Symbolism,nicholas-roerich,tibet-stronghold-potala-1939,1001_images/tibet-stronghold-potala-1939.jpg
Northern_Renaissance,martin-schongauer,the-second-wise-virgin,1001_images/the-second-wise-virgin.jpg
Symbolism,gustav-klimt,portrait-of-a-lady-in-white-unfinished-1918,1001_images/portrait-of-a-lady-in-white-unfinished-1918.jpg
Impressionism,james-mcneill-whistler,gold-and-brown-dordrecht,1001_images/gold-and-brown-dordrecht.jpg
Romanticism,jan-matejko,wladyslaw-laskonogi,1001_images/wladyslaw-laskonogi.jpg
Romanticism,gustave-dore,don-quixote-38,1001_images/don-quixote-38.jpg
Romanticism,miklos-barabas,laying-the-foundation-stone-of-the-chain-bridge-1842,1001_images/laying-the-foundation-stone-of-the-chain-bridge-1842.jpg
Fauvism,raoul-dufy,bathers-1908,1001_images/bathers-1908.jpg
Post_Impressionism,nikola-tanev,monastery-of-st-john-of-lake-ohrid,1001_images/monastery-of-st-john-of-lake-ohrid.jpg
Realism,ilya-repin,portrait-of-k-b-boleslavova-1913,1001_images/portrait-of-k-b-boleslavova-1913.jpg
Expressionism,ernst-ludwig-kirchner,the-mountain,1001_images/the-mountain.jpg
Symbolism,odilon-redon,the-window-1,1001_images/the-window-1.jpg
Post_Impressionism,gustave-loiseau,the-red-painted-house,1001_images/the-red-painted-house.jpg
Pointillism,henri-martin,terrace-in-the-rain-in-marquayrol,1001_images/terrace-in-the-rain-in-marquayrol.jpg
Mannerism_Late_Renaissance,paolo-veronese,lamentation-over-the-dead-christ,1001_images/lamentation-over-the-dead-christ.jpg
Abstract_Expressionism,joan-mitchell,riviere-1990,1001_images/riviere-1990.jpg
Realism,vasily-polenov,palestine-landscape,1001_images/palestine-landscape.jpg
Symbolism,nicholas-roerich,karelian-landscape-tulola-rocks-1918,1001_images/karelian-landscape-tulola-rocks-1918.jpg
Mannerism_Late_Renaissance,tintoretto,the-supper-at-emmaus-1543,1001_images/the-supper-at-emmaus-1543.jpg
Abstract_Expressionism,cy-twombly,coronation-of-sesostris-1,1001_images/coronation-of-sesostris-1.jpg
Contemporary_Realism,jamie-wyeth,gull-rock-1970,1001_images/gull-rock-1970.jpg
High_Renaissance,titian,portrait-of-ariosto-1510,1001_images/portrait-of-ariosto-1510.jpg
Naive_Art_Primitivism,jean-hugo,kew-garden,1001_images/kew-garden.jpg
Realism,ivan-shishkin,the-sketch-for-the-painting-rye-1878,1001_images/the-sketch-for-the-painting-rye-1878.jpg
Naive_Art_Primitivism,marc-chagall,uncle-mitiai-uncle-miniai,1001_images/uncle-mitiai-uncle-miniai.jpg
Realism,vincent-van-gogh,woman-s-head-1883,1001_images/woman-s-head-1883.jpg
Abstract_Expressionism,hans-hofmann,joy-sparks-of-the-gods-ii-1958,1001_images/joy-sparks-of-the-gods-ii-1958.jpg
Impressionism,ilya-repin,prometheus,1001_images/prometheus.jpg
Impressionism,alfred-sisley,the-seine-at-suresnes-1877,1001_images/the-seine-at-suresnes-1877.jpg
Expressionism,frantisek-kupka,report,1001_images/report.jpg
Impressionism,thalia-flora-karavia,from-ithaca,1001_images/from-ithaca.jpg
Color_Field_Painting,frank-stella,color-maze-1966,1001_images/color-maze-1966.jpg
Impressionism,edouard-manet,lady-in-a-fur,1001_images/lady-in-a-fur.jpg
Realism,vincent-van-gogh,the-green-parrot-1886,1001_images/the-green-parrot-1886.jpg
Symbolism,gustave-moreau,arion,1001_images/arion.jpg
Post_Impressionism,henri-de-toulouse-lautrec,the-madame-redoing-her-bun-1893,1001_images/the-madame-redoing-her-bun-1893.jpg
Impressionism,gustave-caillebotte,yerres-the-lawn-in-the-park-seen-from-a-path,1001_images/yerres-the-lawn-in-the-park-seen-from-a-path.jpg
New_Realism,edward-hopper,white-river-at-sharon,1001_images/white-river-at-sharon.jpg
New_Realism,edward-hopper,apartment-houses,1001_images/apartment-houses.jpg
Realism,andrei-ryabushkin,going-on-a-visit,1001_images/going-on-a-visit.jpg
New_Realism,george-luks,breaking-surf,1001_images/breaking-surf.jpg
Impressionism,henri-matisse,belle-ile,1001_images/belle-ile.jpg
Symbolism,harry-clarke,fairy-tales-by-hans-christian-andersen-1916,1001_images/fairy-tales-by-hans-christian-andersen-1916.jpg
Realism,mykola-pymonenko,easter-morning-prayer-in-malorosia-1891,1001_images/easter-morning-prayer-in-malorosia-1891.jpg
Art_Nouveau_Modern,raphael-kirchner,on-holiday,1001_images/on-holiday.jpg
Expressionism,henri-matisse,luxe-1907,1001_images/luxe-1907.jpg
New_Realism,john-french-sloan,independence-square-philadelphia-1900,1001_images/independence-square-philadelphia-1900.jpg
Romanticism,orest-kiprensky,dreamer,1001_images/dreamer.jpg
Art_Nouveau_Modern,nicholas-roerich,pskov-churchyard-1904-1,1001_images/pskov-churchyard-1904-1.jpg
Expressionism,pablo-picasso,the-bread-carrier-1905,1001_images/the-bread-carrier-1905.jpg
Realism,ivan-shishkin,summer-in-the-field-landscape-with-a-herd,1001_images/summer-in-the-field-landscape-with-a-herd.jpg
Impressionism,john-singer-sargent,rio-de-santa-maria-formosa-1905,1001_images/rio-de-santa-maria-formosa-1905.jpg
Cubism,juan-gris,woman-with-a-mandolin-after-corot-1916,1001_images/woman-with-a-mandolin-after-corot-1916.jpg
Color_Field_Painting,gene-davis,franklin-s-footpath-1972(1),1001_images/franklin-s-footpath-1972(1).jpg
Romanticism,john-crome,dock-leaves-1813,1001_images/dock-leaves-1813.jpg
Art_Nouveau_Modern,nicholas-roerich,ilya-muromets-1910-1,1001_images/ilya-muromets-1910-1.jpg
Impressionism,pierre-auguste-renoir,woman-with-a-white-jabot-1880,1001_images/woman-with-a-white-jabot-1880.jpg
Realism,viktor-vasnetsov,porters-1870,1001_images/porters-1870.jpg
Rococo,benjamin-west,self-portrait-1758,1001_images/self-portrait-1758.jpg
Art_Nouveau_Modern,ivan-bilibin,illustration-for-the-epic-ilya-muromets-and-svyatogor-1940(1),1001_images/illustration-for-the-epic-ilya-muromets-and-svyatogor-1940(1).jpg
Expressionism,egon-schiele,self-portrait-with-hand-to-cheek-1910,1001_images/self-portrait-with-hand-to-cheek-1910.jpg
Romanticism,joseph-wright,a-grotto-in-the-kingdom-of-naples-with-banditti-1778,1001_images/a-grotto-in-the-kingdom-of-naples-with-banditti-1778.jpg
Impressionism,claude-monet,vetheuil-prairie-inondee,1001_images/vetheuil-prairie-inondee.jpg
Symbolism,konstantin-somov,the-interior-of-the-pavlovs-country-house,1001_images/the-interior-of-the-pavlovs-country-house.jpg
Symbolism,gulacsy-lajos,young-woman-with-rose-tree-1912,1001_images/young-woman-with-rose-tree-1912.jpg
Post_Impressionism,istvan-ilosvai-varga,houses-with-crippled-man-1939,1001_images/houses-with-crippled-man-1939.jpg
Post_Impressionism,edouard-cortes,boulevard-et-la-porte-st-denis,1001_images/boulevard-et-la-porte-st-denis.jpg
Impressionism,eugene-boudin,channel-in-brussels-1871,1001_images/channel-in-brussels-1871.jpg
Color_Field_Painting,andre-pierre-arnal,pochoir-3,1001_images/pochoir-3.jpg
Romanticism,vasily-tropinin,monk-with-candle-1834,1001_images/monk-with-candle-1834.jpg
Art_Nouveau_Modern,jacek-malczewski,the-tribute-money-triptych-right,1001_images/the-tribute-money-triptych-right.jpg
Baroque,annibale-carracci,baptism-of-christ-1584,1001_images/baptism-of-christ-1584.jpg
Mannerism_Late_Renaissance,sofonisba-anguissola,portrait-of-bianca-ponzoni-anguissola-the-artist-s-mother-1557,1001_images/portrait-of-bianca-ponzoni-anguissola-the-artist-s-mother-1557.jpg
Realism,john-singer-sargent,the-countess-of-essex-1907,1001_images/the-countess-of-essex-1907.jpg
Post_Impressionism,maurice-prendergast,st-malo-4,1001_images/st-malo-4.jpg
Expressionism,balthus,larchant-1939,1001_images/larchant-1939.jpg
Realism,vincent-van-gogh,churchyard-in-winter-1883(1),1001_images/churchyard-in-winter-1883(1).jpg
Cubism,carlos-merida,composici-n-abstracta-1975,1001_images/composici-n-abstracta-1975.jpg
Impressionism,pierre-auguste-renoir,woman-tying-her-shoe,1001_images/woman-tying-her-shoe.jpg
Naive_Art_Primitivism,marc-chagall,the-cowshed-1917,1001_images/the-cowshed-1917.jpg
Baroque,jacob-jordaens,two-studies-of-the-head-of-abraham-grapheus-1621,1001_images/two-studies-of-the-head-of-abraham-grapheus-1621.jpg
Baroque,adriaen-van-ostade,the-drinkers-1658,1001_images/the-drinkers-1658.jpg
Minimalism,alighiero-boetti,dieciundicidodici-1980,1001_images/dieciundicidodici-1980.jpg
Romanticism,vasily-polenov,droit-du-seigneur-1874,1001_images/droit-du-seigneur-1874.jpg
