style,artist,picture,image
Realism,ivan-kramskoy,actor-alexander-lensky-pavlovich-as-petruchio-inshakespeare-s-taming-of-the-shrew-1883.jpg,downloaded_images\actor-alexander-lensky-pavlovich-as-petruchio-inshakespeare-s-taming-of-the-shrew-1883.jpg
Impressionism,willard-metcalf,may-night.jpg,downloaded_images\may-night.jpg
Post_Impressionism,albert-marquet,the-village-of-vosges-1893.jpg,downloaded_images\the-village-of-vosges-1893.jpg
Realism,ilya-repin,ukranian-girl-1875.jpg,downloaded_images\ukranian-girl-1875.jpg
Post_Impressionism,jack-bush,country-road-1942.jpg,downloaded_images\country-road-1942.jpg
Art_Nouveau_Modern,jules-cheret,exposition-universelle-1889-le-pays-des-fe-s-1889.jpg,downloaded_images\exposition-universelle-1889-le-pays-des-fe-s-1889.jpg
Romanticism,william-shayer,village-politicians.jpg,downloaded_images\village-politicians.jpg
Color_Field_Painting,ellsworth-kelly,rectangle-from-the-series-line-form-color-1951.jpg,downloaded_images\rectangle-from-the-series-line-form-color-1951.jpg
Realism,eugene-boudin,the-fisherman-low-tide.jpg,downloaded_images\the-fisherman-low-tide.jpg
Impressionism,alfred-sisley,early-snow-at-louveciennes-1872.jpg,downloaded_images\early-snow-at-louveciennes-1872.jpg
Romanticism,eugene-delacroix,horses-running(1).jpg,downloaded_images\horses-running(1).jpg
Naive_Art_Primitivism,fernando-botero,dance-in-colombia.jpg,downloaded_images\dance-in-colombia.jpg
Post_Impressionism,vincent-van-gogh,vase-with-gladioli-and-carnations-1886.jpg,downloaded_images\vase-with-gladioli-and-carnations-1886.jpg
Rococo,benjamin-west,portrait-of-prince-octavius-1783.jpg,downloaded_images\portrait-of-prince-octavius-1783.jpg
Impressionism,claude-monet,the-seine-at-vetheuil-2.jpg,downloaded_images\the-seine-at-vetheuil-2.jpg
Art_Nouveau_Modern,gustav-klimt,farmhouse-with-birch-trees-1903.jpg,downloaded_images\farmhouse-with-birch-trees-1903.jpg
Post_Impressionism,vincent-van-gogh,the-starry-night-1889(1).jpg,downloaded_images\the-starry-night-1889(1).jpg
Impressionism,pierre-auguste-renoir,the-clearing-1895.jpg,downloaded_images\the-clearing-1895.jpg
Abstract_Expressionism,dan-christensen,metal-yellow-1982.jpg,downloaded_images\metal-yellow-1982.jpg
Expressionism,pyotr-konchalovsky,landscape-at-siena-1912.jpg,downloaded_images\landscape-at-siena-1912.jpg
Contemporary_Realism,eric-fischl,growing-up-in-the-company-of-women-ii.jpg,downloaded_images\growing-up-in-the-company-of-women-ii.jpg
Romanticism,jan-matejko,casimir-jagiellonian.jpg,downloaded_images\casimir-jagiellonian.jpg
Romanticism,richard-parkes-bonington,venice-grand-canal-sunset.jpg,downloaded_images\venice-grand-canal-sunset.jpg
Pop_Art,rene-bertholo,fragments.jpg,downloaded_images\fragments.jpg
Impressionism,alfred-sisley,among-the-vines-near-louveciennes-1874.jpg,downloaded_images\among-the-vines-near-louveciennes-1874.jpg
Art_Nouveau_Modern,ivan-bilibin,churilo-plenkovich-1902.jpg,downloaded_images\churilo-plenkovich-1902.jpg
Ukiyo_e,utagawa-kuniyoshi,opening-shellfish-at-fukagawa.jpg,downloaded_images\opening-shellfish-at-fukagawa.jpg
Realism,anders-zorn,opal-1891.jpg,downloaded_images\opal-1891.jpg
Impressionism,eugene-boudin,dusk-over-the-port-of-le-havre.jpg,downloaded_images\dusk-over-the-port-of-le-havre.jpg
Expressionism,zinaida-serebriakova,portrait-of-a-jewish-philanthropist-igor-s-hurwitz-1941.jpg,downloaded_images\portrait-of-a-jewish-philanthropist-igor-s-hurwitz-1941.jpg
Realism,theodore-rousseau,flock-of-sheep-in-a-pasture.jpg,downloaded_images\flock-of-sheep-in-a-pasture.jpg
Impressionism,octav-angheluta,cap-de-trengar-1943.jpg,downloaded_images\cap-de-trengar-1943.jpg
Mannerism_Late_Renaissance,paolo-veronese,portrait-of-a-venetian-woman-la-belle-nani.jpg,downloaded_images\portrait-of-a-venetian-woman-la-belle-nani.jpg
Rococo,antoine-watteau,the-marriage-contract-1712.jpg,downloaded_images\the-marriage-contract-1712.jpg
Abstract_Expressionism,yayoi-kusama,petals-1988.jpg,downloaded_images\petals-1988.jpg
Baroque,anthony-van-dyck,martin-ryckaert-1631.jpg,downloaded_images\martin-ryckaert-1631.jpg
Naive_Art_Primitivism,marc-chagall,illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-9.jpg,downloaded_images\illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-9.jpg
Color_Field_Painting,helen-frankenthaler,wind-directions-1970.jpg,downloaded_images\wind-directions-1970.jpg
Impressionism,zinaida-serebriakova,portrait-of-boris-serebryakov-1904.jpg,downloaded_images\portrait-of-boris-serebryakov-1904.jpg
Naive_Art_Primitivism,marc-chagall,god-appears-to-moses-in-the-burning-bush-exodus-iii-1-6.jpg,downloaded_images\god-appears-to-moses-in-the-burning-bush-exodus-iii-1-6.jpg
Expressionism,lynd-ward,not-detected-272514.jpg,downloaded_images\not-detected-272514.jpg
Symbolism,nicholas-roerich,ladakh-golden-clouds-over-blue-mountains-1943.jpg,downloaded_images\ladakh-golden-clouds-over-blue-mountains-1943.jpg
Romanticism,john-hoppner,portrait-of-harriet-viscountess-duncannon-with-her-sons-1787.jpg,downloaded_images\portrait-of-harriet-viscountess-duncannon-with-her-sons-1787.jpg
Cubism,roy-lichtenstein,woman-in-a-wheelchair-1963.jpg,downloaded_images\woman-in-a-wheelchair-1963.jpg
Minimalism,walter-darby-bannard,greenstone-1960.jpg,downloaded_images\greenstone-1960.jpg
Realism,konstantin-bogaevsky,view-of-sudak-s-environs.jpg,downloaded_images\view-of-sudak-s-environs.jpg
Realism,pierre-auguste-renoir,the-pont-des-arts-and-the-institut-de-france-1867.jpg,downloaded_images\the-pont-des-arts-and-the-institut-de-france-1867.jpg
Art_Nouveau_Modern,sergey-solomko,fortune-telling.jpg,downloaded_images\fortune-telling.jpg
Symbolism,nicholas-roerich,tibet-2.jpg,downloaded_images\tibet-2.jpg
Northern_Renaissance,hieronymus-bosch,two-monsters.jpg,downloaded_images\two-monsters.jpg
Expressionism,zinaida-serebriakova,portrait-of-troinitsky-1924.jpg,downloaded_images\portrait-of-troinitsky-1924.jpg
Analytical_Cubism,pablo-picasso,man-with-a-guitar-1911-1.jpg,downloaded_images\man-with-a-guitar-1911-1.jpg
High_Renaissance,correggio,the-rest-on-the-flight-to-egypt-with-saint-francis-1517.jpg,downloaded_images\the-rest-on-the-flight-to-egypt-with-saint-francis-1517.jpg
Art_Nouveau_Modern,ivan-bilibin,fellah-1922(1).jpg,downloaded_images\fellah-1922(1).jpg
Realism,edouard-manet,madame-manet-at-the-piano-1868.jpg,downloaded_images\madame-manet-at-the-piano-1868.jpg
New_Realism,george-luks,caricature-of-everett-shinn.jpg,downloaded_images\caricature-of-everett-shinn.jpg
Expressionism,ernst-ludwig-kirchner,cows-at-sunset-1919.jpg,downloaded_images\cows-at-sunset-1919.jpg
Post_Impressionism,paul-gauguin,the-first-flowers-1888.jpg,downloaded_images\the-first-flowers-1888.jpg
Baroque,jacob-jordaens,the-bean-king-1.jpg,downloaded_images\the-bean-king-1.jpg
Realism,volodymyr-orlovsky,shallow.jpg,downloaded_images\shallow.jpg
Northern_Renaissance,albrecht-durer,tilo-on-the-cantilever-of-a-bastion.jpg,downloaded_images\tilo-on-the-cantilever-of-a-bastion.jpg
Color_Field_Painting,ellsworth-kelly,red-blue-yellow-1951.jpg,downloaded_images\red-blue-yellow-1951.jpg
Realism,vasily-vereshchagin,mortally-wounded-1873.jpg,downloaded_images\mortally-wounded-1873.jpg
Post_Impressionism,henri-de-toulouse-lautrec,woman-with-an-umbrella-1889.jpg,downloaded_images\woman-with-an-umbrella-1889.jpg
Post_Impressionism,pyotr-konchalovsky,lake-ilmen-1925.jpg,downloaded_images\lake-ilmen-1925.jpg
Impressionism,willard-metcalf,battery-park-spring.jpg,downloaded_images\battery-park-spring.jpg
Early_Renaissance,andrea-mantegna,the-dead-christ-1478.jpg,downloaded_images\the-dead-christ-1478.jpg
Rococo,william-hogarth,the-importance-of-knowing-perspective-absurd-perspectives.jpg,downloaded_images\the-importance-of-knowing-perspective-absurd-perspectives.jpg
Impressionism,childe-hassam,isle-of-shoals.jpg,downloaded_images\isle-of-shoals.jpg
Impressionism,anders-zorn,a-portrait-of-a-christian-de-falbe.jpg,downloaded_images\a-portrait-of-a-christian-de-falbe.jpg
Naive_Art_Primitivism,horace-pippin,victorian-interior.jpg,downloaded_images\victorian-interior.jpg
Impressionism,childe-hassam,the-norwegian-cottage-1.jpg,downloaded_images\the-norwegian-cottage-1.jpg
Abstract_Expressionism,sam-gilliam,manet-iii-1999.jpg,downloaded_images\manet-iii-1999.jpg
Realism,vasily-perov,portrait-of-the-poet-apollon-maikov-1872.jpg,downloaded_images\portrait-of-the-poet-apollon-maikov-1872.jpg
Realism,henrique-pousao,a-casa-de-persianas-azuis-1882.jpg,downloaded_images\a-casa-de-persianas-azuis-1882.jpg
Expressionism,bui-xuan-phai,hanoi-street-nd.jpg,downloaded_images\hanoi-street-nd.jpg
Post_Impressionism,karl-schrag,spring-bouquet-with-lilacs.jpg,downloaded_images\spring-bouquet-with-lilacs.jpg
Northern_Renaissance,albrecht-altdorfer,nativity-1507.jpg,downloaded_images\nativity-1507.jpg
Impressionism,pierre-auguste-renoir,cup-lemon-and-tomato.jpg,downloaded_images\cup-lemon-and-tomato.jpg
Abstract_Expressionism,wolfgang-paalen,that-s-life-1958.jpg,downloaded_images\that-s-life-1958.jpg
Romanticism,william-turner,regulus-1837.jpg,downloaded_images\regulus-1837.jpg
Symbolism,nicholas-roerich,glacier.jpg,downloaded_images\glacier.jpg
Realism,james-mcneill-whistler,symphony-in-grey-and-green-the-ocean-1872.jpg,downloaded_images\symphony-in-grey-and-green-the-ocean-1872.jpg
Impressionism,gustave-caillebotte,portrait-of-henri-cordier-teacher-at-the-school-of-oriental-languages-1883.jpg,downloaded_images\portrait-of-henri-cordier-teacher-at-the-school-of-oriental-languages-1883.jpg
Impressionism,winston-churchill,at-the-pyramids(1).jpg,downloaded_images\at-the-pyramids(1).jpg
Early_Renaissance,sandro-botticelli,giuliano-de-medici-1478(1).jpg,downloaded_images\giuliano-de-medici-1478(1).jpg
Symbolism,arnold-bã¶cklin,triton-and-nereid.jpg,downloaded_images\triton-and-nereid.jpg
Baroque,gerrit-dou,trumpet-player-in-front-of-a-banquet-1665.jpg,downloaded_images\trumpet-player-in-front-of-a-banquet-1665.jpg
Realism,william-adolphe-bouguereau,the-elder-sister.jpg,downloaded_images\the-elder-sister.jpg
Expressionism,amedeo-modigliani,portrait-of-blaise-cendrars-1917.jpg,downloaded_images\portrait-of-blaise-cendrars-1917.jpg
Realism,thomas-eakins,unidentified-model-thomas-anschutz-and-j-laurie-wallace-1883-1.jpg,downloaded_images\unidentified-model-thomas-anschutz-and-j-laurie-wallace-1883-1.jpg
Romanticism,william-shayer,the-plough-inn.jpg,downloaded_images\the-plough-inn.jpg
Abstract_Expressionism,jackson-pollock,the-moon-woman-cuts-the-circle-1943.jpg,downloaded_images\the-moon-woman-cuts-the-circle-1943.jpg
Rococo,allan-ramsay,mary-digges-1737-1829-lady-robert-manners.jpg,downloaded_images\mary-digges-1737-1829-lady-robert-manners.jpg
Contemporary_Realism,eric-fischl,growing-up-in-the-company-of-women-iii.jpg,downloaded_images\growing-up-in-the-company-of-women-iii.jpg
Expressionism,vilmos-aba-novak,pub-1930.jpg,downloaded_images\pub-1930.jpg
Rococo,claude-lorrain,pastoral-landscape-with-a-mill-1634.jpg,downloaded_images\pastoral-landscape-with-a-mill-1634.jpg
Expressionism,neil-welliver,amon-s-orchard.jpg,downloaded_images\amon-s-orchard.jpg
Naive_Art_Primitivism,grã©goire-michonze,sunset-in-the-field-1979.jpg,downloaded_images\sunset-in-the-field-1979.jpg
Expressionism,george-segal,helen-in-wicker-rocker-1978.jpg,downloaded_images\helen-in-wicker-rocker-1978.jpg
Pop_Art,hiro-yamagata,not-detected-272398.jpg,downloaded_images\not-detected-272398.jpg
Realism,david-burliuk,portrait-of-sergei-eisenstein-1932.jpg,downloaded_images\portrait-of-sergei-eisenstein-1932.jpg
Cubism,marc-chagall,russian-village-under-the-moon-1911.jpg,downloaded_images\russian-village-under-the-moon-1911.jpg
Art_Nouveau_Modern,aubrey-beardsley,the-black-cape-1894.jpg,downloaded_images\the-black-cape-1894.jpg
Impressionism,pierre-auguste-renoir,woman-in-a-landscape.jpg,downloaded_images\woman-in-a-landscape.jpg
Rococo,antoine-watteau,a-love-festival.jpg,downloaded_images\a-love-festival.jpg
Post_Impressionism,constantine-maleas,landscape-of-attica.jpg,downloaded_images\landscape-of-attica.jpg
Cubism,ernst-ludwig-kirchner,entcounter.jpg,downloaded_images\entcounter.jpg
Impressionism,edgar-degas,promenade-by-the-sea.jpg,downloaded_images\promenade-by-the-sea.jpg
Expressionism,zinaida-serebriakova,portrait-of-the-artist-d-bushena-1922.jpg,downloaded_images\portrait-of-the-artist-d-bushena-1922.jpg
Romanticism,vasily-tropinin,portrait-of-prince-alexander-s-dolgorukov.jpg,downloaded_images\portrait-of-prince-alexander-s-dolgorukov.jpg
Rococo,william-hogarth,prospero-and-miranda-from-the-tempest-of-william-shakespeare.jpg,downloaded_images\prospero-and-miranda-from-the-tempest-of-william-shakespeare.jpg
Baroque,peter-paul-rubens,the-consequences-of-war-1638.jpg,downloaded_images\the-consequences-of-war-1638.jpg
Symbolism,albert-bloch,saint-francis-in-the-woods-1927.jpg,downloaded_images\saint-francis-in-the-woods-1927.jpg
Realism,vincent-van-gogh,churchyard-in-winter-1883-1(1).jpg,downloaded_images\churchyard-in-winter-1883-1(1).jpg
Romanticism,sir-lawrence-alma-tadema,the-epps-family-screen-1871.jpg,downloaded_images\the-epps-family-screen-1871.jpg
Symbolism,konstantin-vasilyev,not-detected-272787.jpg,downloaded_images\not-detected-272787.jpg
Baroque,adriaen-van-de-velde,milking-a-cow-1666.jpg,downloaded_images\milking-a-cow-1666.jpg
Northern_Renaissance,hans-memling,portrait-of-an-old-woman-1472.jpg,downloaded_images\portrait-of-an-old-woman-1472.jpg
Expressionism,amedeo-modigliani,seated-nude-1909.jpg,downloaded_images\seated-nude-1909.jpg
Abstract_Expressionism,jimmy-ernst,observation-vii-1965.jpg,downloaded_images\observation-vii-1965.jpg
Post_Impressionism,maxime-maufra,frost-at-morgat-1901.jpg,downloaded_images\frost-at-morgat-1901.jpg
Abstract_Expressionism,sam-francis,spleen-yellow-1971.jpg,downloaded_images\spleen-yellow-1971.jpg
Art_Nouveau_Modern,boris-kustodiev,province-1919.jpg,downloaded_images\province-1919.jpg
Abstract_Expressionism,hans-hofmann,equinox-1958.jpg,downloaded_images\equinox-1958.jpg
Post_Impressionism,moise-kisling,renee-kisling-1928.jpg,downloaded_images\renee-kisling-1928.jpg
Symbolism,tivadar-kosztka-csontvary,coaching-in-athens-at-new-moon-1904.jpg,downloaded_images\coaching-in-athens-at-new-moon-1904.jpg
Northern_Renaissance,lucas-cranach-the-elder,adam-and-eve-1533.jpg,downloaded_images\adam-and-eve-1533.jpg
Northern_Renaissance,hans-memling,tommaso-portinari-and-his-wife.jpg,downloaded_images\tommaso-portinari-and-his-wife.jpg
Post_Impressionism,maurice-denis,noele-s-first-steps.jpg,downloaded_images\noele-s-first-steps.jpg
Realism,aleksey-savrasov,pine-in-marsh-1882.jpg,downloaded_images\pine-in-marsh-1882.jpg
Post_Impressionism,henrique-pousao,rapariga-deitada-no-tronco-de-uma-rvore-1883.jpg,downloaded_images\rapariga-deitada-no-tronco-de-uma-rvore-1883.jpg
Post_Impressionism,vincent-van-gogh,thistles-along-the-roadside-1888.jpg,downloaded_images\thistles-along-the-roadside-1888.jpg
Realism,ivan-shishkin,on-the-forest-boundary-line-1878.jpg,downloaded_images\on-the-forest-boundary-line-1878.jpg
Realism,john-singer-sargent,helen-sears-1895.jpg,downloaded_images\helen-sears-1895.jpg
Northern_Renaissance,albrecht-durer,hans-the-elder-portrait-burgkmair.jpg,downloaded_images\hans-the-elder-portrait-burgkmair.jpg
Realism,pyotr-konchalovsky,still-life-lilacs-in-a-basket-1944.jpg,downloaded_images\still-life-lilacs-in-a-basket-1944.jpg
Rococo,thomas-gainsborough,greyhounds-coursing-a-fox-1785.jpg,downloaded_images\greyhounds-coursing-a-fox-1785.jpg
New_Realism,edward-hopper,apartment-houses.jpg,downloaded_images\apartment-houses.jpg
Art_Nouveau_Modern,felix-vallotton,portuguese-poet-jo-o-de-deus-1895.jpg,downloaded_images\portuguese-poet-jo-o-de-deus-1895.jpg
Impressionism,william-merritt-chase,the-white-rose-aka-miss-jessup.jpg,downloaded_images\the-white-rose-aka-miss-jessup.jpg
Baroque,joshua-reynolds,self-portrait-1775.jpg,downloaded_images\self-portrait-1775.jpg
Impressionism,claude-monet,winter-at-giverny-1.jpg,downloaded_images\winter-at-giverny-1.jpg
Abstract_Expressionism,frank-stella,the-waves-i-hark-1989.jpg,downloaded_images\the-waves-i-hark-1989.jpg
Art_Nouveau_Modern,heorhiy-narbut,illustration-for-the-book-how-mice-buried-the-cat-by-zhukovsky-1910-3.jpg,downloaded_images\illustration-for-the-book-how-mice-buried-the-cat-by-zhukovsky-1910-3.jpg
Impressionism,theodor-pallady,odalisque.jpg,downloaded_images\odalisque.jpg
Contemporary_Realism,eric-fischl,corrida-in-ronda-no-6.jpg,downloaded_images\corrida-in-ronda-no-6.jpg
Realism,alexey-venetsianov,a-peasant-woman-resting-on-her-hand.jpg,downloaded_images\a-peasant-woman-resting-on-her-hand.jpg
Post_Impressionism,edouard-cortes,rue-dulm-pantheon.jpg,downloaded_images\rue-dulm-pantheon.jpg
Color_Field_Painting,helen-frankenthaler,orange-downpour-1970.jpg,downloaded_images\orange-downpour-1970.jpg
Impressionism,lucia-demetriade-balacescu,natur-static-cu-ciclamene-stampe-i-evantai-1923.jpg,downloaded_images\natur-static-cu-ciclamene-stampe-i-evantai-1923.jpg
Pop_Art,burhan-dogancay,giuliani-jerk-1998.jpg,downloaded_images\giuliani-jerk-1998.jpg
Symbolism,kuzma-petrov-vodkin,sacrifice-of-abel-1910.jpg,downloaded_images\sacrifice-of-abel-1910.jpg
Realism,wilhelm-leibl,selbstbildnis-des-achtzehnj-hrigen-1862.jpg,downloaded_images\selbstbildnis-des-achtzehnj-hrigen-1862.jpg
Naive_Art_Primitivism,maria-primachenko,ivan-gave-the-landlord-a-ride-in-his-gig-and-fell-inside-1983.jpg,downloaded_images\ivan-gave-the-landlord-a-ride-in-his-gig-and-fell-inside-1983.jpg
Post_Impressionism,pyotr-konchalovsky,pine-tree-1921.jpg,downloaded_images\pine-tree-1921.jpg
Northern_Renaissance,hans-holbein-the-younger,jeanne-de-boulogne-duchess-of-berry-1524.jpg,downloaded_images\jeanne-de-boulogne-duchess-of-berry-1524.jpg
Northern_Renaissance,jan-van-eyck,portrait-of-baudouin-de-lannoy-1435.jpg,downloaded_images\portrait-of-baudouin-de-lannoy-1435.jpg
Expressionism,ernst-ludwig-kirchner,dodo-head-on-pillow.jpg,downloaded_images\dodo-head-on-pillow.jpg
Post_Impressionism,vincent-van-gogh,the-trinquetaille-bridge-1888.jpg,downloaded_images\the-trinquetaille-bridge-1888.jpg
Romanticism,francisco-goya,leocadia-1823.jpg,downloaded_images\leocadia-1823.jpg
Impressionism,pierre-auguste-renoir,child-with-a-hoop.jpg,downloaded_images\child-with-a-hoop.jpg
Early_Renaissance,filippo-lippi,the-doctors-of-the-church-1437.jpg,downloaded_images\the-doctors-of-the-church-1437.jpg
Rococo,jean-baptiste-simeon-chardin,draughtsman-1737.jpg,downloaded_images\draughtsman-1737.jpg
Symbolism,nicholas-roerich,drops-of-life-1924.jpg,downloaded_images\drops-of-life-1924.jpg
Romanticism,henryk-siemiradzki,country-idyll.jpg,downloaded_images\country-idyll.jpg
Post_Impressionism,salvador-dali,bouquet-l-important-c-est-la-rose.jpg,downloaded_images\bouquet-l-important-c-est-la-rose.jpg
Realism,vincent-van-gogh,orphan-man-wearing-a-blouse-with-broom-and-pipe-1882.jpg,downloaded_images\orphan-man-wearing-a-blouse-with-broom-and-pipe-1882.jpg
Fauvism,ilya-mashkov,landscape-with-towers-1911.jpg,downloaded_images\landscape-with-towers-1911.jpg
Expressionism,dimitris-mytaras,boats-in-halkida.jpg,downloaded_images\boats-in-halkida.jpg
Art_Nouveau_Modern,ivan-bilibin,illustration-for-the-poem-two-crow-by-alexander-pushkin-1910(1).jpg,downloaded_images\illustration-for-the-poem-two-crow-by-alexander-pushkin-1910(1).jpg
Pop_Art,andy-warhol,untitled-superman-collage-15-1960.jpg,downloaded_images\untitled-superman-collage-15-1960.jpg
Symbolism,nicholas-roerich,karakoram.jpg,downloaded_images\karakoram.jpg
Expressionism,marc-chagall,a-group-of-people.jpg,downloaded_images\a-group-of-people.jpg
Post_Impressionism,pablo-picasso,woman-on-a-donkey-1906.jpg,downloaded_images\woman-on-a-donkey-1906.jpg
Early_Renaissance,andrea-del-verrocchio,putto-with-dolphin.jpg,downloaded_images\putto-with-dolphin.jpg
Post_Impressionism,vincent-van-gogh,orchard-with-arles-in-the-background-1888.jpg,downloaded_images\orchard-with-arles-in-the-background-1888.jpg
Realism,vladimir-makovsky,morning-tea-1891.jpg,downloaded_images\morning-tea-1891.jpg
Expressionism,ernst-ludwig-kirchner,palucca.jpg,downloaded_images\palucca.jpg
Post_Impressionism,vincent-van-gogh,trees-and-shrubs-1889-1.jpg,downloaded_images\trees-and-shrubs-1889-1.jpg
Romanticism,henry-raeburn,boy-and-rabbit.jpg,downloaded_images\boy-and-rabbit.jpg
Impressionism,joaquã­n-sorolla,the-milkmaid.jpg,downloaded_images\the-milkmaid.jpg
Impressionism,edgar-degas,after-the-bath-2.jpg,downloaded_images\after-the-bath-2.jpg
Romanticism,fyodor-bronnikov,dog-grooming-in-children-portraits.jpg,downloaded_images\dog-grooming-in-children-portraits.jpg
Symbolism,kuzma-petrov-vodkin,thirsty-warrior-1915.jpg,downloaded_images\thirsty-warrior-1915.jpg
Post_Impressionism,mario-zanini,paisagem-com-riacho-1966.jpg,downloaded_images\paisagem-com-riacho-1966.jpg
Naive_Art_Primitivism,johannes-itten,children-s-portraits-1922.jpg,downloaded_images\children-s-portraits-1922.jpg
Post_Impressionism,ion-pacea,crizanteme.jpg,downloaded_images\crizanteme.jpg
Realism,vasily-perov,fomushka-owl-1868.jpg,downloaded_images\fomushka-owl-1868.jpg
Art_Nouveau_Modern,aubrey-beardsley,singer.jpg,downloaded_images\singer.jpg
Art_Nouveau_Modern,aubrey-beardsley,the-wagnerites.jpg,downloaded_images\the-wagnerites.jpg
