style,artist,picture
Romanticism,richard-parkes-bonington,venice-grand-canal-sunset
Pop_Art,rene-bertholo,fragments
Impressionism,alfred-sisley,among-the-vines-near-louveciennes-1874
Art_Nouveau_Modern,ivan-bilibin,churilo-plenkovich-1902
Ukiyo_e,utagawa-kuniyoshi,opening-shellfish-at-fukagawa
Realism,anders-zorn,opal-1891
Impressionism,eugene-boudin,dusk-over-the-port-of-le-havre
Expressionism,zinaida-serebriakova,portrait-of-a-jewish-philanthropist-igor-s-hurwitz-1941
Realism,theodore-rousseau,flock-of-sheep-in-a-pasture
Impressionism,octav-angheluta,cap-de-trengar-1943
Mannerism_Late_Renaissance,paolo-veronese,portrait-of-a-venetian-woman-la-belle-nani
Rococo,antoine-watteau,the-marriage-contract-1712
Abstract_Expressionism,yayoi-kusama,petals-1988
Baroque,anthony-van-dyck,martin-ryckaert-1631
Naive_Art_Primitivism,marc-chagall,illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-9
Color_Field_Painting,helen-frankenthaler,wind-directions-1970
Impressionism,zinaida-serebriakova,portrait-of-boris-serebryakov-1904
Naive_Art_Primitivism,marc-chagall,god-appears-to-moses-in-the-burning-bush-exodus-iii-1-6
Expressionism,lynd-ward,not-detected-272514
Symbolism,nicholas-roerich,ladakh-golden-clouds-over-blue-mountains-1943
Romanticism,john-hoppner,portrait-of-harriet-viscountess-duncannon-with-her-sons-1787
Cubism,roy-lichtenstein,woman-in-a-wheelchair-1963
Minimalism,walter-darby-bannard,greenstone-1960
Realism,konstantin-bogaevsky,view-of-sudak-s-environs
Realism,pierre-auguste-renoir,the-pont-des-arts-and-the-institut-de-france-1867
Art_Nouveau_Modern,sergey-solomko,fortune-telling
Symbolism,nicholas-roerich,tibet-2
Northern_Renaissance,hieronymus-bosch,two-monsters
Expressionism,zinaida-serebriakova,portrait-of-troinitsky-1924
Analytical_Cubism,pablo-picasso,man-with-a-guitar-1911-1
High_Renaissance,correggio,the-rest-on-the-flight-to-egypt-with-saint-francis-1517
Art_Nouveau_Modern,ivan-bilibin,fellah-1922(1)
Realism,edouard-manet,madame-manet-at-the-piano-1868
New_Realism,george-luks,caricature-of-everett-shinn
Expressionism,ernst-ludwig-kirchner,cows-at-sunset-1919
Post_Impressionism,paul-gauguin,the-first-flowers-1888
Baroque,jacob-jordaens,the-bean-king-1
Realism,volodymyr-orlovsky,shallow
Northern_Renaissance,albrecht-durer,tilo-on-the-cantilever-of-a-bastion
Color_Field_Painting,ellsworth-kelly,red-blue-yellow-1951
Realism,vasily-vereshchagin,mortally-wounded-1873
Post_Impressionism,henri-de-toulouse-lautrec,woman-with-an-umbrella-1889
Post_Impressionism,pyotr-konchalovsky,lake-ilmen-1925
Impressionism,willard-metcalf,battery-park-spring
Early_Renaissance,andrea-mantegna,the-dead-christ-1478
Rococo,william-hogarth,the-importance-of-knowing-perspective-absurd-perspectives
Impressionism,childe-hassam,isle-of-shoals
Impressionism,anders-zorn,a-portrait-of-a-christian-de-falbe
Naive_Art_Primitivism,horace-pippin,victorian-interior
Impressionism,childe-hassam,the-norwegian-cottage-1
Abstract_Expressionism,sam-gilliam,manet-iii-1999
Realism,vasily-perov,portrait-of-the-poet-apollon-maikov-1872
Realism,henrique-pousao,a-casa-de-persianas-azuis-1882
Expressionism,bui-xuan-phai,hanoi-street-nd
Post_Impressionism,karl-schrag,spring-bouquet-with-lilacs
Northern_Renaissance,albrecht-altdorfer,nativity-1507
Impressionism,pierre-auguste-renoir,cup-lemon-and-tomato
Abstract_Expressionism,wolfgang-paalen,that-s-life-1958
Romanticism,william-turner,regulus-1837
Symbolism,nicholas-roerich,glacier
Realism,james-mcneill-whistler,symphony-in-grey-and-green-the-ocean-1872
Impressionism,gustave-caillebotte,portrait-of-henri-cordier-teacher-at-the-school-of-oriental-languages-1883
Impressionism,winston-churchill,at-the-pyramids(1)
Early_Renaissance,sandro-botticelli,giuliano-de-medici-1478(1)
Symbolism,arnold-bã¶cklin,triton-and-nereid
Baroque,gerrit-dou,trumpet-player-in-front-of-a-banquet-1665
Realism,william-adolphe-bouguereau,the-elder-sister
Expressionism,amedeo-modigliani,portrait-of-blaise-cendrars-1917
Realism,thomas-eakins,unidentified-model-thomas-anschutz-and-j-laurie-wallace-1883-1
Romanticism,william-shayer,the-plough-inn
Abstract_Expressionism,jackson-pollock,the-moon-woman-cuts-the-circle-1943
Rococo,allan-ramsay,mary-digges-1737-1829-lady-robert-manners
Contemporary_Realism,eric-fischl,growing-up-in-the-company-of-women-iii
Expressionism,vilmos-aba-novak,pub-1930
Rococo,claude-lorrain,pastoral-landscape-with-a-mill-1634
Expressionism,neil-welliver,amon-s-orchard
Naive_Art_Primitivism,grã©goire-michonze,sunset-in-the-field-1979
Expressionism,george-segal,helen-in-wicker-rocker-1978
Pop_Art,hiro-yamagata,not-detected-272398
Realism,david-burliuk,portrait-of-sergei-eisenstein-1932
Cubism,marc-chagall,russian-village-under-the-moon-1911
Art_Nouveau_Modern,aubrey-beardsley,the-black-cape-1894
Impressionism,pierre-auguste-renoir,woman-in-a-landscape
Rococo,antoine-watteau,a-love-festival
Post_Impressionism,constantine-maleas,landscape-of-attica
Cubism,ernst-ludwig-kirchner,entcounter
Impressionism,edgar-degas,promenade-by-the-sea
Expressionism,zinaida-serebriakova,portrait-of-the-artist-d-bushena-1922
Romanticism,vasily-tropinin,portrait-of-prince-alexander-s-dolgorukov
Rococo,william-hogarth,prospero-and-miranda-from-the-tempest-of-william-shakespeare
Baroque,peter-paul-rubens,the-consequences-of-war-1638
Symbolism,albert-bloch,saint-francis-in-the-woods-1927
Realism,vincent-van-gogh,churchyard-in-winter-1883-1(1)
Romanticism,sir-lawrence-alma-tadema,the-epps-family-screen-1871
Symbolism,konstantin-vasilyev,not-detected-272787
Baroque,adriaen-van-de-velde,milking-a-cow-1666
Northern_Renaissance,hans-memling,portrait-of-an-old-woman-1472
Expressionism,amedeo-modigliani,seated-nude-1909
Abstract_Expressionism,jimmy-ernst,observation-vii-1965
Post_Impressionism,maxime-maufra,frost-at-morgat-1901
Abstract_Expressionism,sam-francis,spleen-yellow-1971
Art_Nouveau_Modern,boris-kustodiev,province-1919
Abstract_Expressionism,hans-hofmann,equinox-1958
Post_Impressionism,moise-kisling,renee-kisling-1928
Symbolism,tivadar-kosztka-csontvary,coaching-in-athens-at-new-moon-1904
Northern_Renaissance,lucas-cranach-the-elder,adam-and-eve-1533
Northern_Renaissance,hans-memling,tommaso-portinari-and-his-wife
Post_Impressionism,maurice-denis,noele-s-first-steps
Realism,aleksey-savrasov,pine-in-marsh-1882
Post_Impressionism,henrique-pousao,rapariga-deitada-no-tronco-de-uma-rvore-1883
Post_Impressionism,vincent-van-gogh,thistles-along-the-roadside-1888
Realism,ivan-shishkin,on-the-forest-boundary-line-1878
Realism,john-singer-sargent,helen-sears-1895
Northern_Renaissance,albrecht-durer,hans-the-elder-portrait-burgkmair
Realism,pyotr-konchalovsky,still-life-lilacs-in-a-basket-1944
Rococo,thomas-gainsborough,greyhounds-coursing-a-fox-1785
New_Realism,edward-hopper,apartment-houses
Art_Nouveau_Modern,felix-vallotton,portuguese-poet-jo-o-de-deus-1895
Impressionism,william-merritt-chase,the-white-rose-aka-miss-jessup
Baroque,joshua-reynolds,self-portrait-1775
Impressionism,claude-monet,winter-at-giverny-1
Abstract_Expressionism,frank-stella,the-waves-i-hark-1989
Art_Nouveau_Modern,heorhiy-narbut,illustration-for-the-book-how-mice-buried-the-cat-by-zhukovsky-1910-3
Impressionism,theodor-pallady,odalisque
Contemporary_Realism,eric-fischl,corrida-in-ronda-no-6
Realism,alexey-venetsianov,a-peasant-woman-resting-on-her-hand
Post_Impressionism,edouard-cortes,rue-dulm-pantheon
Color_Field_Painting,helen-frankenthaler,orange-downpour-1970
Impressionism,lucia-demetriade-balacescu,natur-static-cu-ciclamene-stampe-i-evantai-1923
Pop_Art,burhan-dogancay,giuliani-jerk-1998
Symbolism,kuzma-petrov-vodkin,sacrifice-of-abel-1910
Realism,wilhelm-leibl,selbstbildnis-des-achtzehnj-hrigen-1862
Naive_Art_Primitivism,maria-primachenko,ivan-gave-the-landlord-a-ride-in-his-gig-and-fell-inside-1983
Post_Impressionism,pyotr-konchalovsky,pine-tree-1921
Northern_Renaissance,hans-holbein-the-younger,jeanne-de-boulogne-duchess-of-berry-1524
Northern_Renaissance,jan-van-eyck,portrait-of-baudouin-de-lannoy-1435
Expressionism,ernst-ludwig-kirchner,dodo-head-on-pillow
Post_Impressionism,vincent-van-gogh,the-trinquetaille-bridge-1888
Romanticism,francisco-goya,leocadia-1823
Impressionism,pierre-auguste-renoir,child-with-a-hoop
Early_Renaissance,filippo-lippi,the-doctors-of-the-church-1437
Rococo,jean-baptiste-simeon-chardin,draughtsman-1737
Symbolism,nicholas-roerich,drops-of-life-1924
Romanticism,henryk-siemiradzki,country-idyll
Post_Impressionism,salvador-dali,bouquet-l-important-c-est-la-rose
Realism,vincent-van-gogh,orphan-man-wearing-a-blouse-with-broom-and-pipe-1882
Fauvism,ilya-mashkov,landscape-with-towers-1911
Expressionism,dimitris-mytaras,boats-in-halkida
Art_Nouveau_Modern,ivan-bilibin,illustration-for-the-poem-two-crow-by-alexander-pushkin-1910(1)
Pop_Art,andy-warhol,untitled-superman-collage-15-1960
Symbolism,nicholas-roerich,karakoram
Expressionism,marc-chagall,a-group-of-people
Post_Impressionism,pablo-picasso,woman-on-a-donkey-1906
Early_Renaissance,andrea-del-verrocchio,putto-with-dolphin
Post_Impressionism,vincent-van-gogh,orchard-with-arles-in-the-background-1888
Realism,vladimir-makovsky,morning-tea-1891
Expressionism,ernst-ludwig-kirchner,palucca
Post_Impressionism,vincent-van-gogh,trees-and-shrubs-1889-1
Romanticism,henry-raeburn,boy-and-rabbit
Impressionism,joaquã­n-sorolla,the-milkmaid
Impressionism,edgar-degas,after-the-bath-2
Romanticism,fyodor-bronnikov,dog-grooming-in-children-portraits
Symbolism,kuzma-petrov-vodkin,thirsty-warrior-1915
Post_Impressionism,mario-zanini,paisagem-com-riacho-1966
Naive_Art_Primitivism,johannes-itten,children-s-portraits-1922
Post_Impressionism,ion-pacea,crizanteme
Realism,vasily-perov,fomushka-owl-1868
Art_Nouveau_Modern,aubrey-beardsley,singer
Art_Nouveau_Modern,aubrey-beardsley,the-wagnerites
New_Realism,edward-hopper,the-city
Baroque,pieter-de-hooch,the-courtyard-of-a-house-in-delft
Symbolism,mikalojus-ciurlionis,wrath-ii-1904(1)
Impressionism,camille-pissarro,landscape-with-a-donkey
Naive_Art_Primitivism,louis-vivin,trois-personnages-avec-un-chien
Romanticism,sir-lawrence-alma-tadema,in-the-temple-1871
Art_Nouveau_Modern,nicholas-roerich,sketches-of-costumes-for-tale-of-tsar-saltan-1919-3
Post_Impressionism,gustave-loiseau,path-in-the-snow
Impressionism,zinaida-serebriakova,green-autumn-1908
Early_Renaissance,giovanni-bellini,the-madonna-of-the-red-cherubs
Realism,aleksey-savrasov,at-the-cemetery-1884
Baroque,peter-paul-rubens,the-crowning-of-st-catherine
Realism,isaac-levitan,twilight-moon-1899
Realism,vladimir-makovsky,hiring-a-servants-1891
Mannerism_Late_Renaissance,giorgio-vasari,the-studio-of-the-painter
Northern_Renaissance,hans-memling,the-donor-from-the-right-wing-of-the-diptych-of-maerten-van-nieuwenhove-1487
Ukiyo_e,keisai-eisen,daikoku-ebisu-and-fukurokuju-counting-money
Impressionism,marie-bracquemond,the-artist-s-son-and-sister-in-the-garden-at-sevres-1890
Impressionism,federico-zandomeneghi,young-girl-reading-1
Symbolism,mstislav-dobuzhinsky,street-in-munich-1901
Post_Impressionism,paul-cezanne,man-with-a-pipe-1892
Impressionism,childe-hassam,late-afternoon-new-york-winter-1900
Impressionism,childe-hassam,the-spanish-steps-rome
Symbolism,nicholas-roerich,treasure-of-snows-kangchenjunga-1940
Impressionism,georges-seurat,farmer-to-work-1883
Romanticism,konstantin-makovsky,female-portrait-5
Expressionism,jean-helion,accident-1979
Impressionism,giovanni-fattori,die-roten-f-sser-1870
Impressionism,childe-hassam,up-the-avenue-from-thirty-fourth-street
Minimalism,brice-marden,i-1986
Abstract_Expressionism,paul-reed,16j-1963
High_Renaissance,lorenzo-lotto,sleeping-apollo-muses-and-fama
Expressionism,vela-zanetti,the-sheperdess-1975
Impressionism,mikhail-nesterov,autumn-1906
Expressionism,richard-diebenkorn,interior-with-flowers
Color_Field_Painting,perle-fine,cool-series-black-over-green-1963
Contemporary_Realism,jamie-wyeth,comet-1997
Rococo,joshua-reynolds,james-fitzgerald-duke-of-leinster
Rococo,antoine-pesne,portrait-of-frederick-william-i-of-prussia
Impressionism,william-merritt-chase,girl-in-a-japanese-kimono
Impressionism,edgar-degas,after-the-bath-1896-1
Baroque,hendrick-terbrugghen,the-calling-of-st-matthew-1
Romanticism,jan-matejko,casimir-the-great
Impressionism,samuel-mutzner,poarta-templului-lama-peking-1915
Romanticism,gustave-dore,in-with-the-river-sunk-and-with-it-rose-satan
High_Renaissance,lorenzo-lotto,signor-marsilio-cassotti-and-his-wife-faustina-1523
Color_Field_Painting,perle-fine,cool-series-no-12-fiercely-remote-1963
Romanticism,jan-matejko,coronation
Impressionism,sever-burada,tatar-houses-in-balchik
Symbolism,nicholas-roerich,trans-himalayas-1928-1
Art_Nouveau_Modern,edmund-dulac,the-gentleman-in-waiting-the-nightingale
Rococo,william-hogarth,a-harlot-s-progress-plate-1
Post_Impressionism,paula-modersohn-becker,still-life-with-milk-1905
Northern_Renaissance,albrecht-durer,the-descent-of-the-holy-spirit-1511
Northern_Renaissance,hieronymus-bosch,temptation-of-st-anthony-2
Romanticism,alexander-shilov,awakening-1982
Symbolism,konstantin-somov,fireworks-1
Symbolism,zinaida-serebriakova,put-on-one-s-shoes-farmer-1915
Symbolism,odilon-redon,the-druidess-1893
Abstract_Expressionism,morris-graves,machine-age-noise-1957
Abstract_Expressionism,sam-francis,untitled-sf-357
Impressionism,konstantin-korovin,on-the-beach-in-the-crimea-1909
Expressionism,ernst-ludwig-kirchner,two-women-at-a-couch
High_Renaissance,andrea-mantegna,the-triumph-and-vespasian-de-titus-1500
Realism,vasily-vereshchagin,dressing-station-1879
Mannerism_Late_Renaissance,tintoretto,annunciation-maria-1594
Rococo,thomas-gainsborough,portrait-of-johann-christian-bach-1776
Impressionism,pierre-auguste-renoir,wilhelm-muhlfeld-1910
Impressionism,konstantin-korovin,portrait-of-an-officer-1916
Post_Impressionism,paul-gauguin,the-hibiskus-tree-1892
Post_Impressionism,edouard-cortes,the-place-de-opera
Art_Nouveau_Modern,sergey-solomko,st-jenevieve-and-the-new-attila
Impressionism,alfred-sisley,the-seine-at-bougival-1873-1
Impressionism,claude-monet,water-lily-pond-1
Impressionism,pierre-auguste-renoir,music-two-paintings
Realism,vasily-surikov,monk
Pop_Art,andy-warhol,the-last-supper-1986
Symbolism,felicien-rops,behind-the-scenes
Impressionism,john-singer-sargent,cottage-at-fairford-gloucestershire-1892
Romanticism,karl-bodmer,mehkskeme-sukahs-blackfoot-chief-and-tatsicki-stomick-piekann-chief-plate-45-from-volume1-of-1834
Synthetic_Cubism,georges-braque,the-musician-1918
Northern_Renaissance,lucas-cranach-the-elder,katharina-von-bora-future-wife-of-martin-luther-1526
Impressionism,octav-bancila,flori-de-m-r
Realism,camille-corot,the-church-at-lormes
Expressionism,margareta-sterian,behind-the-curtain
Symbolism,konstantin-somov,gardener-gift
Realism,thomas-eakins,illustrated-letter-written-to-his-family-1866
Romanticism,orest-kiprensky,portrait-of-ivan-petrovich-wolfe-1811
New_Realism,john-french-sloan,carol-with-red-curls-1913
Post_Impressionism,vincent-van-gogh,at-the-foot-of-the-mountains-1889(1)
Northern_Renaissance,dirk-bouts,martyrdom-of-st-erasmus-left-wing
Northern_Renaissance,petrus-christus,nativity-1452
Color_Field_Painting,anne-appleby,sage-1997
Impressionism,joaquã­n-sorolla,beach-at-zarauz-1910
Symbolism,felicien-rops,the-sailors-den
Impressionism,eugene-boudin,antwerp-the-head-of-flanders
Cubism,roger-de-la-fresnaye,diabolo
Realism,ilya-repin,portrait-of-member-of-state-council-grand-prince-mikhail-aleksandrovich-romanov-study-1901
Symbolism,odilon-redon,the-apparition
Impressionism,robert-julian-onderdonk,through-the-hills-in-sw-texas-1911
Romanticism,paul-cezanne,portrait-of-achille-emperaire-1868
Contemporary_Realism,janet-fish,black-bowl-red-scarf-2007
Realism,eugene-boudin,the-honfleur-lighthouse
Realism,pyotr-konchalovsky,katya-by-the-window-1935
Romanticism,gustave-dore,the-panther(1)
Impressionism,antoine-blanchard,la-gare-dorleans-et-le-quai-dorsay
Romanticism,dante-gabriel-rossetti,belcolore-1880
Realism,isaac-levitan,a-river-1888
Mannerism_Late_Renaissance,tintoretto,battle-between-turks-and-christians-1589
Baroque,artemisia-gentileschi,allegoria-dell-inclinazione-1615
Post_Impressionism,a.y.-jackson,maple-woods-algoma-1920
Art_Nouveau_Modern,aubrey-beardsley,the-girl-from-the-farm
Realism,ilya-repin,portrait-of-professor-ivanov-1882
Realism,vincent-van-gogh,old-man-in-a-tail-coat-1882
Impressionism,konstantin-korovin,kem-1905
Realism,ivan-shishkin,view-of-the-yelabuga-1861
Art_Nouveau_Modern,felix-vallotton,portrait-of-french-poet-jehan-rictus-1898
Minimalism,jo-baer,cardinations-1974
Symbolism,nicholas-roerich,messenger-island-1914
Impressionism,claude-monet,the-pyramids-cliffs-at-belle-ile
Abstract_Expressionism,frank-stella,yellow-journal-1982
Realism,jean-francois-millet,shepherdesses-seated-in-the-shade
Baroque,joseph-wright,study-of-the-terrain-near-vesuvius
Realism,ion-andreescu,onions
Post_Impressionism,pierre-bonnard,eiffel-tower-and-the-seine
Art_Nouveau_Modern,jacek-malczewski,passing-on-the-palette
Symbolism,nicholas-roerich,girls-1944
Rococo,francois-boucher,vulcan-presenting-arms-to-venus-for-aeneas-1756
New_Realism,john-french-sloan,deep-blue-sea-1916
Post_Impressionism,gustave-loiseau,quay-at-dieppe
Impressionism,claude-monet,springtime
Minimalism,felix-gonzalez-torres,untitled-last-light-1993
Expressionism,martiros-saryan,in-yerevan-1908
Symbolism,nicholas-roerich,star-of-the-hero-1932
Romanticism,john-constable,the-opening-of-waterloo-bridge-seen-from-whitehall-stairs
Romanticism,jan-matejko,stanislaw-leszczynski-1
Post_Impressionism,paul-gauguin,the-great-buddha-1899
Art_Nouveau_Modern,edmund-dulac,prospero-in-secret-studies-from-the-tempest
Northern_Renaissance,albrecht-durer,christ-bearing-the-cross-1498
Impressionism,santiago-rusinol,senyor-quer-in-the-garden-1889
Expressionism,august-macke,the-hat-shop-1913
Art_Nouveau_Modern,koloman-moser,stage-design-for-the-phantom-of-hermann-bahr-1913
Romanticism,sir-lawrence-alma-tadema,courtship-the-proposal-1892
Post_Impressionism,maurice-denis,homage-to-cezanne-1900
Pointillism,henri-edmond-cross,boats-in-the-port-of-st-tropez
Rococo,joshua-reynolds,lady-charles-spencer
Color_Field_Painting,morris-louis,apogee-1962
Color_Field_Painting,anne-truitt,7-nov-62-1962
Impressionism,camille-pissarro,portrait-of-eugene-murer-1878
Minimalism,agnes-martin,happy-valley-1967
Post_Impressionism,vincent-van-gogh,wheat-field-1888-1
Impressionism,james-ensor,old-lady-with-blue-shawl-the-artist-s-grandmother-1881
Pointillism,henri-edmond-cross,siesta-by-the-water
Post_Impressionism,moise-kisling,not-identified-1952
Impressionism,claude-monet,the-seine-near-giverny-2
Naive_Art_Primitivism,maria-primachenko,wild-cat-1977
Impressionism,edouard-manet,seascape-at-arcachon-arcachon-beautiful-weather-1871
Impressionism,paul-signac,the-port-of-st-tropez
Symbolism,konstantin-bogaevsky,seashore-1907
Post_Impressionism,gustave-loiseau,etretat-la-point-de-batterie-1902
Post_Impressionism,maurice-prendergast,study-st-malo-no-11
Action_painting,jackson-pollock,number-7-out-of-the-web-1949
Contemporary_Realism,jamie-wyeth,mischief-night-1986
Realism,viktor-vasnetsov,headed-duck-hunter-1889
Naive_Art_Primitivism,camille-bombois,le-maquereau-1935
Impressionism,john-henry-twachtman,round-hill-road-1900
Post_Impressionism,ferdynand-ruszczyc,astronomical-observatory-of-vilnius-university-1910
Symbolism,odilon-redon,the-birth-of-venus-1912-2
Art_Nouveau_Modern,nicholas-roerich,ominous-1901
Naive_Art_Primitivism,marc-chagall,lot-s-daughters-1931
Realism,boris-kustodiev,manor-in-the-park-1912
Expressionism,martiros-saryan,worker-s-settlement-and-concrete-plant-davalu-ararat-region-1937
Art_Nouveau_Modern,raphael-kirchner,girls-heads-on-christmas-foliage-background
Symbolism,kuzma-petrov-vodkin,head-of-a-girl-1922
Early_Renaissance,benozzo-gozzoli,saint-ursula-with-angels-and-donor-detail-4
Impressionism,claude-monet,cliffs-at-amont
Romanticism,gustave-dore,the-descent-from-thecross
Realism,nikolai-ge,boys-at-the-beach-study
Rococo,vladimir-borovikovsky,portrait-of-martha-arbeneva-1798
Naive_Art_Primitivism,marc-chagall,joshua-closes-the-book-of-law-that-he-has-just-read-to-the-people-of-israel-joshua-viii-33-35
Impressionism,willard-metcalf,pottery-shop-at-tunis
Northern_Renaissance,hans-memling,the-mourning-virgin-with-st-john-and-the-pious-women-from-galilee-1485
Rococo,jean-honore-fragonard,a-boy-as-pierrot
High_Renaissance,lorenzo-lotto,the-nativity-1527
Impressionism,ilya-mashkov,simeiz-beach
Minimalism,joan-hernandez-pijuan,gerro-i-rosa-1988
Fauvism,pyotr-konchalovsky,still-life-with-red-gladioli-1915
Post_Impressionism,vincent-van-gogh,skull-1
Post_Impressionism,edouard-cortes,place-from-a-knoll-montmartre
Impressionism,nikolay-bogdanov-belsky,shepherd-girl
Expressionism,ernst-ludwig-kirchner,schlemihls-entcounter-with-the-shadow
Realism,james-tissot,judaic-ornament-1889-1
Naive_Art_Primitivism,kateryna-bilokur,flowers-at-night-1942
Northern_Renaissance,albrecht-durer,women-only
Color_Field_Painting,dan-christensen,troubador-1998
Art_Nouveau_Modern,koloman-moser,figure-study-of-tristan-1
Symbolism,nicholas-roerich,pemaianze-1924
Realism,henri-fantin-latour,queens-daisies-1872
Cubism,saul-steinberg,untitled-1971(1)
Mannerism_Late_Renaissance,paolo-veronese,the-holy-family-with-the-infant-st-john-the-baptist
Art_Nouveau_Modern,alphonse-mucha,novem
Impressionism,pierre-auguste-renoir,three-partridges
Impressionism,pieter-wenning,malay-quarter
Impressionism,pierre-auguste-renoir,the-skiff-1880
Post_Impressionism,bela-czobel,coastal-view-with-barges-1930
Post_Impressionism,edouard-cortes,quai-de-montebello
Expressionism,jose-gutierrez-solana,women-of-life-1933
Realism,boris-kustodiev,portrait-of-e-e-lansere-1913
Impressionism,pierre-auguste-renoir,georges-riviere-and-margot-1876
Abstract_Expressionism,joan-mitchell,blue-territory-1972
Art_Nouveau_Modern,koloman-moser,sketch-for-a-poster-of-the-vienna-workshop
Realism,vasily-polenov,great-pyramids-of-cheops-and-chephren-1899
Realism,vasily-surikov,yenisey-near-krasnoyarsk-1909
Realism,nicholas-roerich,waiting-1901
Impressionism,giovanni-boldini,statue-in-the-park-of-versailles
Impressionism,camille-pissarro,self-portrait-1873
Baroque,theodoor-van-thulden,discord-expels-art-and-science
Symbolism,kuzma-petrov-vodkin,self-portrait-1921
Ukiyo_e,utagawa-toyokuni-ii,the-kabuki-actors-ichikawa-danjuro-vii-as-iwafuji-1824
Abstract_Expressionism,sam-francis,sculpture-drawing-toyko-sf65-018-1965
Baroque,bartolome-esteban-murillo,the-infant-jesus-distributing-bread-to-pilgrims-1678
Romanticism,theodore-gericault,horse-leaving-a-stable
Realism,fyodor-vasilyev,in-the-mountain-of-the-crimea-brook-1873
Abstract_Expressionism,joan-mitchell,riviere-1990
Northern_Renaissance,albrecht-altdorfer,the-battle-of-issus-fragment
Impressionism,alfred-sisley,the-mills-at-moret-1890
